features,layers,momentum,mean_score,std_score
8,10,0.3,0.71364515,0.002253011
8,10,0.1,0.711578571,0.006810691
8,10,0.5,0.711923398,0.005891876
8,10,0.9,0.71502804,0.001234936
9,2,0,0.658652905,0.126214889
9,2,0.3,0.703956568,0.018226877
9,2,0.1,0.695677127,0.026770716
9,2,0.5,0.714682019,0.001322125
9,2,0.9,0.71364515,0.002730235
9,3,0,0.672471066,0.069152858
9,3,0.3,0.702596349,0.019601524
9,3,0.1,0.695357356,0.027139109
9,3,0.5,0.710186135,0.007930043
9,3,0.9,0.71261186,0.003702778
9,5,0,0.688392793,0.050030996
9,5,0.3,0.706741439,0.014875324
9,5,0.1,0.691911466,0.02981064
9,5,0.5,0.709154039,0.008264206
9,5,0.9,0.714338384,0.002740264
9,8,0,0.703963727,0.014013546
9,8,0.3,0.71226226,0.003787841
9,8,0.1,0.71225868,0.005329829
9,8,0.5,0.713989977,0.002942677
9,8,0.9,0.713992364,0.002208303
9,10,0,0.705368094,0.016145567
